atu,topic,title,culture,author,origin_raw,source_page
312,Bluebeard,Man-Snake as Bridegroom,Jamaica,,Jamaica,type0312.html
312,Bluebeard,The Brahman Girl That Married a Tiger,India,,India,type0312.html
,The Blue Belt,"Norway, Peter Christen Asbjørnsen and Jørgen Moe",,,,bluebelt.html
1678,The Boy Who Had Never Seen a Woman,Boccaccio's Story of Filippo Balducci and His Son,,,,type1678.html
1678,The Boy Who Had Never Seen a Woman,Filippo Balducci and His Son,Giovanni Boccaccio,,Giovanni Boccaccio,type1678.html
1678,The Boy Who Had Never Seen a Woman,An Inexperienced Youth,"Italy, The Facetiæ of Poggio",,"Italy, The Facetiæ of Poggio",type1678.html
1678,The Boy Who Had Never Seen a Woman,A Young Monk Wanted to Have a Goose,Germany,,Germany,type1678.html
920E,The Three-Ring Parable,Melchizedek Avoids a Trap,Giovanni Boccaccio,,Giovanni Boccaccio,type0920e.html
920E,The Three-Ring Parable,Of the Triple State of the World,Gesta Romanorum,,Gesta Romanorum,type0920e.html
920E,The Three-Ring Parable,The Parable of the Three Rings,Gotthold Ephraim Lessing,,Gotthold Ephraim Lessing,type0920e.html
,Griselda,Giovanni Boccaccio,,,,griselda.html
,Bogeymen / Boogeymen,Dictionary Definitions,"Samuel Johnson, A Dictionary of the English Language",1755,"Samuel Johnson, A Dictionary of the English Language (1755)",bogey.html
,Bogeymen / Boogeymen,Oxford English Dictionary,1971,,,bogey.html
,Bogeymen / Boogeymen,"Webster's New International Dictionary of the English Language, 2nd edition",1947,,,bogey.html
,Bogeymen / Boogeymen,Webster's Third New International Dictionary of the English Language,1947,,,bogey.html
